month,annual_rate_pct,monthly_rate_pct
2010-01,12.0,0.009489
2010-02,12.0,0.009489
2010-03,12.0,0.009489
2010-04,12.0,0.009489
2010-05,12.0,0.009489
2010-06,12.0,0.009489
2010-07,12.0,0.009489
2010-08,12.0,0.009489
2010-09,12.0,0.009489
2010-10,12.0,0.009489
2010-11,12.0,0.009489
2010-12,12.0,0.009489
2011-01,12.0,0.009489
2011-02,12.0,0.009489
2011-03,12.0,0.009489
2011-04,12.0,0.009489
2011-05,12.0,0.009489
2011-06,12.0,0.009489
2011-06,14.0,0.010979
2011-07,14.0,0.010979
2011-08,14.0,0.010979
2011-09,14.0,0.010979
2011-10,14.0,0.010979
2011-11,14.0,0.010979
2011-12,14.0,0.010979
2012-01,14.0,0.010979
2012-02,14.0,0.010979
2012-03,14.0,0.010979
2012-04,14.0,0.010979
2012-05,14.0,0.010979
2012-06,14.0,0.010979
2012-07,14.0,0.010979
2012-08,14.0,0.010979
2012-09,14.0,0.010979
2012-10,14.0,0.010979
2012-11,14.0,0.010979
2012-12,14.0,0.010979
2013-01,16.0,0.012445
2013-02,16.0,0.012445
2013-03,16.0,0.012445
2013-04,16.0,0.012445
2013-05,16.0,0.012445
2013-06,16.0,0.012445
2013-07,16.0,0.012445
2013-08,16.0,0.012445
2013-09,16.0,0.012445
2013-10,16.0,0.012445
2013-11,16.0,0.012445
2013-12,16.0,0.012445
2014-01,16.0,0.012445
2014-02,16.0,0.012445
2014-03,16.0,0.012445
2014-04,16.0,0.012445
2014-05,16.0,0.012445
2014-06,16.0,0.012445
2014-07,15.0,0.011715
2014-08,15.0,0.011715
2014-09,15.0,0.011715
2014-10,15.0,0.011715
2014-11,15.0,0.011715
2014-12,15.0,0.011715
2015-01,15.0,0.011715
2015-02,15.0,0.011715
2015-03,15.0,0.011715
2015-04,15.0,0.011715
2015-05,15.0,0.011715
2015-06,15.0,0.011715
2015-07,15.0,0.011715
2015-08,15.0,0.011715
2015-09,15.0,0.011715
2015-10,15.0,0.011715
2015-11,15.0,0.011715
2015-12,15.0,0.011715
2016-01,15.0,0.011715
2016-02,15.0,0.011715
2016-03,15.0,0.011715
2016-04,15.0,0.011715
2016-05,15.0,0.011715
2016-06,15.0,0.011715
2016-07,15.0,0.011715
2016-08,15.0,0.011715
2016-09,15.0,0.011715
2016-10,15.0,0.011715
2016-11,15.0,0.011715
2016-12,15.0,0.011715
2017-01,15.0,0.011715
2017-02,15.0,0.011715
2017-03,15.0,0.011715
2017-04,15.0,0.011715
2017-05,15.0,0.011715
2017-06,15.0,0.011715
2017-07,15.0,0.011715
2017-08,15.0,0.011715
2017-09,15.0,0.011715
2017-10,15.0,0.011715
2017-10,15.0,0.011715
2017-11,15.0,0.011715
2017-12,15.0,0.011715
2018-01,15.0,0.011715
2018-02,15.0,0.011715
2018-03,15.0,0.011715
2018-04,15.0,0.011715
2018-05,15.0,0.011715
2018-06,15.0,0.011715
2018-07,15.0,0.011715
2018-08,15.0,0.011715
2018-09,15.0,0.011715
2018-10,15.0,0.011715
2018-11,15.0,0.011715
2018-12,15.0,0.011715
2019-01,15.0,0.011715
2019-02,15.0,0.011715
2019-03,15.0,0.011715
2019-04,15.0,0.011715
2019-05,15.0,0.011715
2019-06,15.0,0.011715
2019-06,18.0,0.013888
2019-07,18.0,0.013888
2019-08,18.0,0.013888
2019-09,18.0,0.013888
2019-10,18.0,0.013888
2019-11,18.0,0.013888
2019-12,18.0,0.013888
2020-01,18.0,0.013888
2020-02,18.0,0.013888
2020-03,18.0,0.013888
2020-04,18.0,0.013888
2020-05,18.0,0.013888
2020-05,18.0,0.013888
2020-06,18.0,0.013888
2020-07,18.0,0.013888
2020-08,18.0,0.013888
2020-09,18.0,0.013888
2020-10,18.0,0.013888
2020-11,18.0,0.013888
2020-12,18.0,0.013888
2021-01,18.0,0.013888
2021-02,18.0,0.013888
2021-03,18.0,0.013888
2021-04,18.0,0.013888
2021-05,18.0,0.013888
2021-06,18.0,0.013888
2021-07,18.0,0.013888
2021-08,18.0,0.013888
2021-09,18.0,0.013888
2021-10,18.0,0.013888
2021-11,18.0,0.013888
2021-12,18.0,0.013888
2022-01,18.0,0.013888
2022-02,18.0,0.013888
2022-03,18.0,0.013888
2022-04,18.0,0.013888
2022-05,18.0,0.013888
2022-06,18.0,0.013888
2022-07,18.0,0.013888
2022-07,21.0,0.016012
2022-08,21.0,0.016012
2022-09,21.0,0.016012
2022-10,21.0,0.016012
2022-11,21.0,0.016012
2022-12,21.0,0.016012
2023-01,21.0,0.016012
2023-02,21.0,0.016012
2023-03,21.0,0.016012
2023-04,21.0,0.016012
2023-05,21.0,0.016012
2023-06,21.0,0.016012
2023-06,23.0,0.017401
2023-07,23.0,0.017401
2023-08,23.0,0.017401
2023-09,23.0,0.017401
2023-10,23.0,0.017401
2023-11,23.0,0.017401
2023-12,23.0,0.017401
2024-01,23.0,0.017401
2024-02,23.0,0.017401
2024-03,23.0,0.017401
2024-04,23.0,0.017401
2024-05,23.0,0.017401
2024-06,23.0,0.017401
2024-07,23.0,0.017401
2024-07,25.0,0.018769
2024-08,25.0,0.018769
2024-09,25.0,0.018769
2024-10,25.0,0.018769
2024-11,25.0,0.018769
2024-12,25.0,0.018769
2025-01,25.0,0.018769
2025-02,25.0,0.018769
2025-03,25.0,0.018769
2025-04,25.0,0.018769
2025-05,25.0,0.018769
2025-06,25.0,0.018769
2025-07,25.0,0.018769
2025-08,25.0,0.018769
2025-09,25.0,0.018769
2025-10,25.0,0.018769
2025-11,25.0,0.018769
2025-12,25.0,0.018769
2026-01,25.0,0.018769
2026-02,25.0,0.018769
2026-03,25.0,0.018769
2026-04,25.0,0.018769
2026-05,25.0,0.018769
2026-06,25.0,0.018769
2026-07,25.0,0.018769
